speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
amerob,American Robin,Turdus migratorius,L4479407,US-IL-Tallula-62688 - 39.9204x-89.8179,2025-10-24 14:42:00,2.0,39.920371,-89.817879,True,False,True,S281127427
amerob,American Robin,Turdus migratorius,L54409394,shelton park,2025-10-24 15:12:00,1.0,42.127949,-87.750674,True,False,True,S281132270
amerob,American Robin,Turdus migratorius,L903273,Milford Sewage Treatment Ponds (restricted access),2025-10-24 15:55:00,,40.6237569,-87.6779126,True,False,False,S281154828
amerob,American Robin,Turdus migratorius,L11012720,Busse Woods--south pool,2025-10-24 15:59:00,50.0,42.0240252,-88.0187591,True,False,False,S281171915
amerob,American Robin,Turdus migratorius,L54412311,Mills Apple Farm,2025-10-24 16:23:00,3.0,38.817163,-89.733139,True,False,True,S281145226
amerob,American Robin,Turdus migratorius,L4195384,Union Park,2025-10-24 16:35:00,1.0,41.8839481,-87.6655447,True,False,False,S281156594
amerob,American Robin,Turdus migratorius,L54413739,"Old School Forest Preserve, Libertyville US-IL 42.26818, -87.92300",2025-10-24 16:41:00,28.0,42.268182,-87.922997,True,False,True,S281151736
amerob,American Robin,Turdus migratorius,L54417045,"16000-16398 E 7th Rd, Butler",2025-10-24 16:52:00,2.0,39.2459493,-89.5671358,True,False,True,S281168474
amerob,American Robin,Turdus migratorius,L38610725,Valley Floor,2025-10-24 16:52:00,34.0,42.311596,-88.369977,True,False,True,S281147574
amerob,American Robin,Turdus migratorius,L13842243,"6346 N Nokomis Ave, Chicago US-IL 41.99616, -87.76063",2025-10-24 17:08:00,1.0,41.996159,-87.760633,True,False,True,S281147138
amerob,American Robin,Turdus migratorius,L12396723,"11096 Knoles Rd, Petersburg US-IL 39.91995, -89.81669",2025-10-24 17:10:00,1.0,39.919951,-89.816691,True,False,True,S281148534
amerob,American Robin,Turdus migratorius,L2620252,Clinton Lake SRA--Mascoutin Beach and Boat Ramp,2025-10-24 17:25:00,3.0,40.1498606,-88.8058449,True,False,False,S281150043
